epoch,train_loss,test_loss,train_acc,test_acc
1,0.6982657741909185,0.6938806772232056,0.47107438016528924,0.47540983606557374
2,0.692326083656185,0.6968666911125183,0.5495867768595041,0.5081967213114754
3,0.6843860154309549,0.7023910880088806,0.5702479338842975,0.5081967213114754
4,0.6881596170181086,0.7042891979217529,0.5165289256198347,0.47540983606557374
5,0.6807426829968602,0.7079758048057556,0.5743801652892562,0.47540983606557374
6,0.6772071384201365,0.7091131210327148,0.5743801652892562,0.45901639344262296
7,0.672449394691089,0.7195762991905212,0.5702479338842975,0.4918032786885246
8,0.663183058588958,0.7318996787071228,0.5785123966942148,0.4262295081967213
9,0.6600269305804545,0.7384231686592102,0.6322314049586777,0.4426229508196721
10,0.6567237746617025,0.740888237953186,0.6198347107438017,0.45901639344262296
11,0.6535091818856799,0.749121904373169,0.6198347107438017,0.47540983606557374
12,0.6521684571731189,0.7599345445632935,0.6198347107438017,0.47540983606557374
13,0.6641271291685499,0.7654165029525757,0.5661157024793388,0.45901639344262296
14,0.6355262339607743,0.7741694450378418,0.6900826446280992,0.45901639344262296
15,0.6387274398291407,0.7718165516853333,0.6033057851239669,0.4426229508196721
16,0.628228252584284,0.7898621559143066,0.6735537190082644,0.4426229508196721
17,0.6134182485667142,0.7872008085250854,0.6570247933884298,0.45901639344262296
18,0.62173037932924,0.80778968334198,0.6900826446280992,0.47540983606557374
19,0.617011135767314,0.8131299614906311,0.6776859504132231,0.4426229508196721
20,0.6061923587617796,0.8394073247909546,0.6983471074380165,0.4918032786885246
21,0.59564661585595,0.8530510067939758,0.7107438016528925,0.47540983606557374
22,0.5884417992485457,0.8460554480552673,0.6859504132231405,0.45901639344262296
23,0.5986285189951747,0.8553040027618408,0.6859504132231405,0.47540983606557374
24,0.5846809533016741,0.8672583103179932,0.7107438016528925,0.45901639344262296
25,0.5671799370079986,0.8451480269432068,0.7355371900826446,0.4918032786885246
26,0.5812025651458866,0.852835476398468,0.731404958677686,0.45901639344262296
27,0.5753291692615541,0.8662064075469971,0.71900826446281,0.47540983606557374
28,0.5629937412325016,0.8768045902252197,0.7148760330578512,0.4426229508196721
29,0.578971200245471,0.892792820930481,0.7231404958677686,0.4918032786885246
30,0.5788292362670268,0.8783096075057983,0.7024793388429752,0.45901639344262296
31,0.573750467339823,0.8913194537162781,0.7272727272727273,0.47540983606557374
32,0.578926261791513,0.8854995369911194,0.7355371900826446,0.47540983606557374
33,0.5596805326948481,0.8839088082313538,0.6942148760330579,0.47540983606557374
34,0.5836300500168288,0.8718996047973633,0.6859504132231405,0.47540983606557374
35,0.5541326625288026,0.8942551612854004,0.71900826446281,0.47540983606557374
36,0.5607324464262025,0.9014805555343628,0.6942148760330579,0.4426229508196721
37,0.5757966248457097,0.8826839923858643,0.7066115702479339,0.45901639344262296
38,0.592941477771633,0.8924971222877502,0.6694214876033058,0.45901639344262296
39,0.5629148557166422,0.9260112047195435,0.731404958677686,0.45901639344262296
40,0.5910868908255553,0.9187901020050049,0.6983471074380165,0.39344262295081966
41,0.5516727551941044,0.9242491126060486,0.7396694214876033,0.45901639344262296
42,0.562024886943092,0.9485573768615723,0.7107438016528925,0.47540983606557374
43,0.5423730976325422,0.952913224697113,0.71900826446281,0.47540983606557374
44,0.5697543877215425,0.9355403780937195,0.6942148760330579,0.45901639344262296
45,0.5718192783269015,0.9230489134788513,0.7066115702479339,0.4426229508196721
46,0.5437617188642833,0.9021316766738892,0.743801652892562,0.39344262295081966
47,0.5658457525505507,0.9097440838813782,0.6735537190082644,0.4426229508196721
48,0.5848783865447872,0.8964846134185791,0.6942148760330579,0.4426229508196721
49,0.5389024447803655,0.9182562828063965,0.71900826446281,0.4098360655737705
50,0.5302688139529268,0.9501645565032959,0.7520661157024794,0.4262295081967213
51,0.5535398238946584,0.9461563229560852,0.7107438016528925,0.47540983606557374
52,0.5356438223980675,0.9445981383323669,0.7355371900826446,0.4262295081967213
53,0.5589106210992356,0.9301552772521973,0.7148760330578512,0.39344262295081966
54,0.5591698052469364,0.9300400614738464,0.743801652892562,0.45901639344262296
55,0.5905266172629743,0.9444048404693604,0.6611570247933884,0.4262295081967213
56,0.57189953376439,0.9387971758842468,0.71900826446281,0.47540983606557374
57,0.558308357049611,0.9401097297668457,0.7148760330578512,0.4426229508196721
58,0.564532392281146,0.9262630343437195,0.7066115702479339,0.45901639344262296
59,0.550835718300717,0.9164983034133911,0.7024793388429752,0.4426229508196721
60,0.5448430175623618,0.9181462526321411,0.7107438016528925,0.47540983606557374
61,0.5634818648503832,0.9028021097183228,0.6983471074380165,0.4262295081967213
62,0.5329144503459458,0.9331175088882446,0.7272727272727273,0.45901639344262296
63,0.5458815797301363,0.9048532247543335,0.7066115702479339,0.4262295081967213
64,0.5661847901738379,0.9323016405105591,0.7107438016528925,0.45901639344262296
65,0.5205500628337387,0.9287325739860535,0.7479338842975206,0.4098360655737705
66,0.548201322555542,0.9201548099517822,0.7231404958677686,0.4262295081967213
67,0.49850558101638287,0.911614716053009,0.78099173553719,0.47540983606557374
68,0.5190792540627077,0.9365369081497192,0.7520661157024794,0.45901639344262296
69,0.55539695881615,0.9650672674179077,0.6818181818181818,0.47540983606557374
70,0.5798704949292269,0.963056206703186,0.6776859504132231,0.45901639344262296
71,0.5361055849997465,0.9794949293136597,0.7355371900826446,0.47540983606557374
72,0.5571828267791055,0.9466182589530945,0.7396694214876033,0.4262295081967213
73,0.562312596100421,0.9751570820808411,0.7231404958677686,0.45901639344262296
74,0.5656864165274564,0.9639124870300293,0.7272727272727273,0.4098360655737705
75,0.5460013594509157,0.9543935656547546,0.7396694214876033,0.47540983606557374
76,0.5188037876255256,0.9568861126899719,0.7520661157024794,0.4918032786885246
77,0.526956358478089,0.9757539629936218,0.7644628099173554,0.4426229508196721
78,0.5709100951833174,0.9794284105300903,0.7148760330578512,0.4426229508196721
79,0.5267788743184618,0.9945871829986572,0.7603305785123967,0.47540983606557374
80,0.5457013402103392,0.9575110077857971,0.7148760330578512,0.45901639344262296
81,0.5306716408611329,0.9634017944335938,0.7768595041322314,0.45901639344262296
82,0.5582225133072246,0.9594973921775818,0.7148760330578512,0.4426229508196721
83,0.5508551639466246,0.9687390923500061,0.7024793388429752,0.4426229508196721
84,0.5468891277786129,0.9762703776359558,0.7231404958677686,0.47540983606557374
85,0.5443962593216541,0.9867405891418457,0.7024793388429752,0.47540983606557374
86,0.5389704576208572,0.9691665172576904,0.7355371900826446,0.45901639344262296
