Feature,Importance
restecg,0.08196721311475413
thalach,0.0655737704918033
oldpeak,0.0655737704918033
trestbps,0.0655737704918033
age,0.032786885245901676
sex,0.032786885245901676
ca,0.016393442622950838
chol,0.0
cp,0.0
slope,-0.016393442622950838
fbs,-0.032786885245901676
thal,-0.032786885245901676
exang,-0.0491803278688524
